deliverable_id,title,output_class,depends_on,recommended_profile,workflow_phase,work_unit_type,start_gate_ids,accept_gate_ids,release_gate_ids,required_portals,required_oracle_suite_id,verification_mode_default,required_evidence_bundle_kinds,budgets_default,stop_triggers_overrides,notes
D-01,Governance hygiene patchset for instance-1 build,record,,,PH-0 Bootstrap,,G-00,G-00,,,,,,,,
D-02,Repository scaffold and workspace layout,candidate,,STRICT-CORE,PH-0 Bootstrap,,G-00,G-30,,,,,,,,
D-03,Continuous integration baseline (build/test/lint),candidate,D-02,STRICT-CORE,PH-0 Bootstrap,,G-00;G-30,G-30,,,,,,,,
D-04,"Local developer tooling (scripts, dev env bootstrap)",candidate,D-02,STRICT-CORE,PH-0 Bootstrap,,G-00;G-30,G-30,,,,,,,,
D-05,Domain model primitives and invariants,candidate,D-02,STRICT-CORE,PH-1 Domain Core,,G-00;G-30,G-30,,,,,,,,
D-06,Deterministic state machines and transition validation,candidate,D-05,STRICT-CORE,PH-1 Domain Core,,G-00;G-30,G-30,,,,,,,,
D-07,Ports and boundary interfaces (domain → adapters),candidate,D-05,STRICT-CORE,PH-1 Domain Core,,G-00;G-30,G-30,,,,,,,,
D-08,Context compilation rules (refs → deterministic context bundle),candidate,"D-06, D-07",STRICT-CORE,PH-1 Domain Core,,G-00;G-30,G-00;G-30,,,,,,,,
D-09,"Postgres schemas and migrations (event store, projections, graph)",candidate,D-02,STRICT-CORE,PH-0 Bootstrap,,G-00;G-30,G-10,,,,,,,,
D-10,EventStore adapter (append-only streams + concurrency control),candidate,"D-07, D-09",STRICT-CORE,PH-2 Persistence+Evidence,,G-00;G-10;G-30,G-10,,,,,,,,
D-11,Projection builder (read models from event streams),candidate,"D-10, D-06",STRICT-CORE,PH-2 Persistence+Evidence,,G-00;G-10;G-30,G-10,,,,,,,,
D-12,Dependency graph projection + staleness traversal,candidate,"D-10, D-09, D-06",STRICT-CORE,PH-2 Persistence+Evidence,,G-00;G-10;G-30,G-15,,,,,,,,
D-13,Outbox publisher and NATS event publication,candidate,D-10,STRICT-CORE,PH-2 Persistence+Evidence,,G-00;G-10,G-10,,,,,,,,
D-14,"Evidence store adapter (MinIO, content-addressed bundles)",candidate,"D-07, D-02",STRICT-CORE,PH-2 Persistence+Evidence,,G-00;G-30,G-20,,,,,,,,
