gate_id,gate_name,gate_kind,applies_to,purpose_decision,membranes_enforced,enforced_surface_hex,enforcement_mechanism,allowed_actor_kinds,required_refs_depends_on,required_commitment_objects,required_evidence,verification_profile_or_suite,success_outputs,success_state_effect,failure_conditions,stop_triggers_on_failure,relief_valve,routing_portal_on_block,notes,contract_refs,spec_refs,plan_refs
G-00,Context admissible (IterationStarted ref-set; no ghost inputs),work_start,D-01..D-36,"Establish an admissible, deterministic Iteration context by enforcing the normative IterationStarted.refs[] checklist and prohibiting any unreferenced inputs.",Intent & Objective; Ontological; Accountability; Authority & Integrity; Change,driving_port; domain_core,IterationStarted schema validation; ref dereference + content_hash validation; ContextCompiler deterministic compilation; staleness preflight on depends_on refs,SYSTEM,"Loop (rel=in_scope_of); GovernedArtifact SR-TYPES/SR-CONTRACT/SR-SPEC/SR-DIRECTIVE (rel=depends_on, version+content_hash); SR-PLAN instance (rel=depends_on); SAPS / problem_statement record (rel=depends_on); OracleSuite intended for verification (rel=depends_on); Prior Iteration summaries carried forward (rel=depends_on, optional); Base Candidate (rel=depends_on, optional but required for incremental work); Active exceptions (Deviation/Deferral/Waiver, rel=depends_on, optional/empty allowed); Human notes (intervention/evaluation/assessment, rel=depends_on when present/required by gating policy)",LoopCreated; IterationStarted (actor_kind=SYSTEM); referenced governed artifacts are registered/available with matching content_hash,N/A (capture preflight logs as evidence.gate_packet when blocked; optional for audit),suite:CTX-REFSET-VALIDATION@v1,IterationStarted accepted; ContextBundle compiled deterministically; iteration may proceed,Iteration may start; agent work is permitted only within compiled ContextBundle,Missing required refs or missing meta.content_hash; refs not dereferenceable; governed artifact versions/hashes unknown; oracle suite ref missing; active exceptions referenced but unavailable; required human note missing per gating policy; depends_on refs stale with unresolved staleness markers,EVIDENCE_MISSING (if any required ref cannot be fetched); ORACLE_GAP (if required OracleSuite ref missing); REPEATED_FAILURE (if repeated inability to compile context),DecisionRecorded (human) to amend ref set / resolve staleness / correct scope; GovernanceChangePortal for systemic ref-set/schema issues,GovernanceChangePortal (systemic); otherwise DecisionRecorded (human) for this loop/iteration,"Default conservative: if context cannot be proven admissible, block iteration start rather than proceed on implicit/ambient inputs.",C-CTX-1; C-CTX-2; C-EVID-6; C-EVT-1,SR-SPEC §3.2.1.1; SR-SPEC ContextCompiler semantics; SR-SPEC §1.13 (staleness),D-01..D-36
G-10,Runtime substrate verified (event log + projections + outbox invariants),foundation_accept,D-09..D-13; D-18; D-21..D-23; D-32; D-34; D-36,"Accept foundational runtime/persistence components only when the event log is append-only, projection rebuild is deterministic, and outbox publication invariants hold under the declared environment constraints.",Architectural; Operational; Accountability; Authority & Integrity; Isomorphic,driven_port; adapter; domain_core,oracle_run (integration suite); projection rebuild checks; event-envelope conformance tests; outbox/at-least-once tests,SYSTEM,Candidate (rel=depends_on); OracleSuite suite:RUNTIME-SUBSTRATE (rel=depends_on); governing artifacts in force (rel=depends_on),RunStarted + RunCompleted; EvidenceBundleRecorded; (if applicable) projection tables created/migrated,Evidence bundle containing: event-store invariant tests; projection rebuild determinism logs; outbox publish simulation logs,suite:RUNTIME-SUBSTRATE@v1 (includes STRICT-CORE baseline + runtime invariants),EvidenceBundleRecorded with PASS for required runtime invariants,Candidate verification status may be computed as Verified (Strict) for the runtime substrate scope; downstream deliverables may depend_on this substrate,Any required runtime invariant oracle FAIL; inability to rebuild projections deterministically; non-monotonic global_seq; event-envelope schema violations; outbox duplication/ordering violations outside declared guarantees; oracle integrity faults (tamper/gap/flake/env mismatch); evidence not retrievable,ORACLE_TAMPER; ORACLE_GAP; ORACLE_ENV_MISMATCH; ORACLE_FLAKE; EVIDENCE_MISSING,"Fix implementation; if a requirement is infeasible, route Deviation/Deferral via GovernanceChangePortal (do not silently weaken invariants).",GovernanceChangePortal (for requirement conflicts) / DecisionRecorded (human) for stop-trigger arbitration,This gate is meant for *substrate* components whose failures poison downstream work; treat failures as stop-the-line until resolved.,C-ARCH-1; C-ARCH-3; C-EVT-3; C-OR-1; C-OR-2; C-EVID-6,SR-SPEC §1.2 (event envelope); SR-SPEC §1.5 (event log); SR-SPEC §1.6–§1.8 (projections/outbox); SR-SPEC §3.3 (Verified rules),D-09..D-13; D-18; D-21..D-23; D-32; D-34; D-36
G-15,Dependency graph + staleness routing verified,invariant_accept,D-12; D-19,"Accept dependency-graph and staleness traversal behavior only when staleness propagation, re-evaluation triggering, and unresolved-staleness blocking semantics match SR-SPEC.",Isomorphic; Ontological; Operational; Accountability; Change,domain_core; driven_port; adapter,oracle_run (staleness traversal suite); projection conformance checks; reference-relationship validation (depends_on vs supported_by),SYSTEM,Candidate (rel=depends_on); OracleSuite suite:STALENESS-GRAPH (rel=depends_on); governing artifacts in force (rel=depends_on),RunStarted + RunCompleted; EvidenceBundleRecorded; dependency graph projection populated,Evidence bundle containing: dependency graph build tests; staleness traversal tests; re-evaluation routing tests,suite:STALENESS-GRAPH@v1,EvidenceBundleRecorded with PASS for staleness/graph semantics,Staleness markers can be relied upon to block Shippable and trigger re-evaluation deterministically,Incorrect traversal/propagation; failure to block when upstream dependency changes; incorrect handling of rel=depends_on vs rel=supported_by; non-deterministic projection rebuild; evidence not retrievable,EVIDENCE_MISSING; ORACLE_GAP; ORACLE_TAMPER; ORACLE_FLAKE,"Fix implementation; if semantics need change, route governance change (SR-SPEC/SR-CONTRACT) via GovernanceChangePortal.",GovernanceChangePortal (semantic conflicts) / DecisionRecorded (human) for arbitration,This gate is load-bearing for staleness-aware Shippable gating; keep it strict and avoid waiver by default.,C-EVT-6; C-SHIP-1; C-CTX-1,SR-SPEC §1.13 (staleness); SR-SPEC §1.12.4 (Shippable requires no unresolved staleness); SR-SPEC §3.2.1.1 (rel semantics),D-12; D-19
G-20,Evidence store integrity + retrievability verified,foundation_accept,D-14..D-16; D-19..D-20; D-23..D-27; D-29; D-32..D-34,"Accept evidence subsystem components only when evidence bundles are content-addressed, validated on ingest, remain retrievable, and missing evidence is detected and blocks progression.",Accountability; Authority & Integrity; Operational,driven_port; adapter; domain_core,oracle_run (evidence integrity suite); evidence manifest schema validation; retrievability reference-walk tests; negative tests for missing evidence,SYSTEM,Candidate (rel=depends_on); OracleSuite suite:EVIDENCE-INTEGRITY (rel=depends_on); governing artifacts in force (rel=depends_on),RunStarted + RunCompleted; EvidenceBundleRecorded; evidence objects stored content-addressed,Evidence bundle containing: ingest validation tests; content-hash verification logs; retrieval checks; EVIDENCE_MISSING negative-path proof,suite:EVIDENCE-INTEGRITY@v1,EvidenceBundleRecorded with PASS for evidence ingest/validation/retrievability,Evidence may be used as basis for Verified claims; missing evidence will be caught and block binding claims,Evidence manifest schema invalid; content hash mismatch; evidence objects not retrievable; presigned-url or storage layer breaks auditability; missing evidence not detected or does not block; oracle integrity faults,EVIDENCE_MISSING; ORACLE_GAP; ORACLE_TAMPER; ORACLE_ENV_MISMATCH; ORACLE_FLAKE,"Fix storage/ingest; if retention constraints conflict, route Deviation/Deferral via GovernanceChangePortal (do not allow silent loss of evidence).",GovernanceChangePortal (retention/policy conflicts) / DecisionRecorded (human) for incident handling,Evidence availability is non-negotiable for binding claims; treat storage incidents as stop-the-line for affected claims.,C-EVID-1; C-EVID-2; C-EVID-6; C-OR-2; C-EVT-1,SR-SPEC §1.9 (EvidenceBundle manifest); SR-SPEC §2.3.3 (Runs and EvidenceBundleRecorded); SR-SPEC §3.4 (EVIDENCE_MISSING handling),D-14..D-16; D-19..D-20; D-23..D-27; D-29; D-32..D-34
G-30,Core verification PASS (STRICT-CORE) for deliverable acceptance,verification_accept,D-02..D-12; D-14..D-15; D-17..D-20; D-22..D-31; D-33..D-34,"Accept a candidate deliverable only when the assigned core verification profile passes with deterministic required oracles, suite pinning is intact, and evidence is recorded and retrievable.",Architectural; Ontological; Accountability; Authority & Integrity; Operational,driving_port; domain_core; driven_port,RunStarted/RunCompleted; required oracle suite execution; EvidenceBundleRecorded; candidate status computation,SYSTEM,"Candidate (rel=depends_on); OracleSuite profile/suite for STRICT-CORE (rel=depends_on); governing artifacts in force (rel=depends_on); active exceptions in scope (rel=depends_on, optional)",RunStarted + RunCompleted; EvidenceBundleRecorded; (if WITH_EXCEPTIONS) WaiverCreated + WaiverActivated,"Evidence bundle manifest + logs for all required oracles in STRICT-CORE (build/test/lint/schema etc, as defined in the profile)",profile:STRICT-CORE@v1 (required oracles deterministic; advisory allowed),EvidenceBundleRecorded; Candidate computed as Verified (Strict) OR Verified-with-Exceptions (only if waiver(s) exist and are in-scope),Deliverable may be marked Accepted for its workflow phase; downstream depends_on edges may proceed,Any required oracle FAIL without an in-scope active waiver; any oracle integrity fault (tamper/gap/flake/env mismatch); evidence missing/unretrievable; suite hash mismatch; attempt to treat advisory or human notes as replacing evidence,ORACLE_TAMPER; ORACLE_GAP; ORACLE_ENV_MISMATCH; ORACLE_FLAKE; EVIDENCE_MISSING; REPEATED_FAILURE (if N consecutive no-progress iterations),"Fix failing checks; if acceptability requires exceptions, route WaiverCreated (human) for specific FAIL outcomes only; for systemic changes, route GovernanceChangePortal.",DecisionRecorded (human) for stop-trigger arbitration; GovernanceChangePortal for systemic requirement changes; /exceptions/waivers (human) for waiver requests,Do not downgrade required oracles to advisory without governance change routing; keep STRICT as default unless explicitly allowed for a work-unit.,C-VER-1; C-VER-2; C-OR-1; C-OR-2; C-EVID-6; C-TB-7,SR-SPEC §3.3 (Candidate verification status); SR-SPEC §3.5 (suite pinning); SR-SPEC §2.3.3 (EvidenceBundleRecorded),D-02..D-12; D-14..D-15; D-17..D-20; D-22..D-31; D-33..D-34
G-31,Full verification PASS (STRICT-FULL) for high-stakes acceptance,verification_accept,D-26,"Accept a candidate only when extended integration/e2e verification passes under deterministic required oracles, with evidence recorded and suite pinned.",Architectural; Isomorphic; Accountability; Authority & Integrity; Operational,driving_port; domain_core; driven_port; adapter,RunStarted/RunCompleted; extended oracle suite execution; EvidenceBundleRecorded; candidate status computation,SYSTEM,"Candidate (rel=depends_on); OracleSuite profile/suite for STRICT-FULL (rel=depends_on); governing artifacts in force (rel=depends_on); active exceptions (rel=depends_on, optional)",RunStarted + RunCompleted; EvidenceBundleRecorded; (if WITH_EXCEPTIONS) WaiverCreated + WaiverActivated,Evidence bundle manifest + logs for all required oracles in STRICT-FULL (integration/e2e/security etc as defined in the profile),profile:STRICT-FULL@v1,EvidenceBundleRecorded; Candidate computed as Verified (Strict) OR Verified-with-Exceptions (waiver-scoped),High-stakes deliverable may be accepted and used as basis for end-to-end gates,Required oracle FAIL without in-scope waiver; integrity faults; evidence missing; suite hash mismatch; non-deterministic required oracle,ORACLE_TAMPER; ORACLE_GAP; ORACLE_ENV_MISMATCH; ORACLE_FLAKE; EVIDENCE_MISSING,Fix; or request tightly-scoped waiver (human) for specific FAIL results; otherwise route governance change for profile/suite modification.,DecisionRecorded (human) / GovernanceChangePortal / /exceptions/waivers (human),"Use sparingly for gates/deliverables that would otherwise create high-cost false positives (e.g., integration suite itself, release candidates).",C-VER-1; C-OR-1; C-OR-2; C-EVID-6,SR-SPEC §3.3 (Verified rules); SR-SPEC §3.5 (suite pinning); SR-SPEC §2.3.3,D-26
G-40,Stop-the-line triggers + integrity conditions enforced,integrity_enforcement,D-22..D-23; D-27; D-33..D-35,"Confirm that mandatory stop triggers and integrity conditions are implemented end-to-end: integrity faults halt progression, StopTriggered is emitted, loops pause, and human DecisionRecorded is required to proceed.",Operational; Authority & Integrity; Accountability; Resource; Change,domain_core; driving_port; adapter,oracle_run (stop-trigger suite); simulated fault injection; loop lifecycle assertions (PAUSED gating); decision/arbitration workflow checks,SYSTEM (trigger detection) + HUMAN (DecisionRecorded to resume),Candidate (rel=depends_on); OracleSuite suite:STOP-TRIGGERS (rel=depends_on); governing artifacts in force (rel=depends_on),StopTriggered; Loop state transitions to PAUSED; DecisionRecorded (human) required for resume; EvidenceMissingDetected (when applicable),Evidence bundle containing: fault-injection transcripts for each mandatory trigger; lifecycle projection assertions; decision workflow proofs,suite:STOP-TRIGGERS@v1,EvidenceBundleRecorded (from stop-trigger suite); demonstrated StopTriggered→PAUSED→DecisionRecorded path,Stop-the-line discipline may be relied upon during plan execution; integrity faults are non-waivable,Any mandatory trigger not emitted when condition occurs; loop does not pause; system proceeds without DecisionRecorded; attempted waiver of non-waivable integrity; missing evidence does not block; REPEATED_FAILURE threshold undefined in directive,ORACLE_TAMPER; ORACLE_GAP; ORACLE_ENV_MISMATCH; ORACLE_FLAKE; EVIDENCE_MISSING; REPEATED_FAILURE; BUDGET_EXHAUSTED,"Fix; if arbitration semantics need change, route governance change via GovernanceChangePortal (do not bypass stop-the-line).",DecisionRecorded (human) for arbitration; GovernanceChangePortal for systemic trigger/semantics changes,This gate is itself integrity-critical; treat failures as blockers for any downstream work that depends on budgets/stop triggers.,C-LOOP-3; C-DEC-1; C-OR-2; C-EVID-6,SR-SPEC §3.4 (mandatory stop triggers; PAUSED semantics); SR-SPEC Loop lifecycle (§3.1); SR-SPEC DecisionRecorded model (§1.11),D-22..D-23; D-27; D-33..D-35
G-50,Portal workflows functional (approvals/exceptions/freeze submission paths),integration_accept,D-19; D-30; D-34,"Accept portal-facing surfaces only when portal workflows can create the required binding records (ApprovalRecorded, WaiverCreated, FreezeRecordCreated) with correct field constraints and actor-kind enforcement.",Authority & Integrity; Accountability; Ontological; Change,driving_port; adapter; driven_port,oracle_run (portal workflow integration suite); API contract tests; UI-to-API trace tests; actor-kind enforcement checks,SYSTEM (tests) + HUMAN (binding actions at runtime),Candidate (rel=depends_on); governing artifacts in force (rel=depends_on); OracleSuite suite:PORTAL-WORKFLOWS (rel=depends_on),ApprovalRecorded (human) created via portal API; WaiverCreated (human) where applicable; FreezeRecordCreated (human) where applicable,Evidence bundle containing: API integration traces for approvals/waivers/freeze; schema validation logs; negative tests for actor_kind!=HUMAN,suite:PORTAL-WORKFLOWS@v1,EvidenceBundleRecorded; verified ability to produce required binding records through portal workflows,Portal boundary crossings are operationally usable for later gates (release/freeze/exception workflows),Cannot create ApprovalRecorded; approval missing required fields; portal allows agent/system to spoof human actor_kind; FreezeRecordCreated rejected due to missing exception acknowledgement but UI/API fails to capture; waiver scope constraints not enforced,ORACLE_GAP; ORACLE_TAMPER; ORACLE_FLAKE; EVIDENCE_MISSING,"Fix implementation; if portal field requirements change, route SR-SPEC/SR-CONTRACT update via GovernanceChangePortal.",GovernanceChangePortal (schema/semantics conflicts) / DecisionRecorded (human) for operational arbitration,"This gate is about *functional correctness* of portal workflows, not about granting approvals for a real release.",C-TB-1; C-TB-4; C-TB-6; C-TB-7; C-SHIP-1,SR-SPEC §2.3.4 (Approvals); SR-SPEC §2.3.5 (Exceptions); SR-SPEC §1.12 (Freeze record fields and exception acknowledgement),D-19; D-30; D-34
G-60,Self-host deploy smoke verified (single-command up + health checks),ops_accept,D-26; D-31..D-34,Accept self-host/ops deliverables only when the full stack boots deterministically with pinned versions and passes health checks in the declared environment.,Resource; Operational; Accountability; Authority & Integrity,adapter; driven_port,oracle_run (selfhost smoke suite); deployment harness; health-check probes; version pinning validation,SYSTEM,Candidate (rel=depends_on); OracleSuite suite:SELFHOST-SMOKE (rel=depends_on); governing artifacts in force (rel=depends_on),RunStarted + RunCompleted; EvidenceBundleRecorded; deployment logs captured,Evidence bundle containing: bootstrap logs; service health checks; API ping tests; version/digest pinning report,suite:SELFHOST-SMOKE@v1,EvidenceBundleRecorded with PASS for self-host boot + health checks,Self-host environment may be used as a substrate for e2e and replayability harnesses,Stack does not boot; health checks fail; non-deterministic boot; required secrets not handled per policy; evidence missing,BUDGET_EXHAUSTED; REPEATED_FAILURE; EVIDENCE_MISSING; ORACLE_ENV_MISMATCH,"Fix; if environment constraints need adjustment, route suite/environment changes via GovernanceChangePortal.",DecisionRecorded (human) for budget/stop arbitration; GovernanceChangePortal for environment constraint changes,Keep this gate fast (smoke) but strict on determinism and pinning to prevent 'works on my machine' drift.,C-LOOP-1; C-OR-1; C-EVID-6,SR-SPEC §3.5 (environment constraints); SR-SPEC §2.3 (API surface),D-26; D-31..D-34
G-70,End-to-end happy path transcript verified,e2e_accept,D-34..D-36,"Accept end-to-end harness only when the canonical happy path executes: Loop→IterationStarted→Candidate submission→Run(oracles)→EvidenceBundleRecorded→ApprovalRecorded→FreezeRecordCreated, producing a replayable transcript and IDs.",Intent & Objective; Operational; Architectural; Ontological; Isomorphic; Change; Authority & Integrity; Resource; Accountability,adapter; driving_port; domain_core; driven_port,oracle_run (e2e harness); transcript capture; invariant assertions across projections; simulated human actor for portal steps in test env,SYSTEM (harness) + HUMAN (simulated test identity for portal steps) + ORACLE (run execution),Candidate (rel=depends_on); OracleSuite suite:E2E-HAPPY (rel=depends_on); governing artifacts in force (rel=depends_on); self-host environment ref (rel=depends_on),IterationStarted; RunStarted/RunCompleted; EvidenceBundleRecorded; ApprovalRecorded; FreezeRecordCreated,Evidence bundle containing: full harness transcript/logs; produced object IDs; assertions for each membrane boundary; retrievability check results,suite:E2E-HAPPY@v1 (uses STRICT-CORE + portal/freeze validation),EvidenceBundleRecorded + harness transcript; produced ApprovalRecorded and FreezeRecordCreated in test,Demonstrated canonical workflow is executable; unlocks failure-path and replayability proofs,Any step in canonical workflow fails; approvals/freeze cannot be recorded; harness cannot demonstrate replayable transcript; integrity faults unhandled; staleness incorrectly ignored,ORACLE_GAP; ORACLE_TAMPER; ORACLE_ENV_MISMATCH; ORACLE_FLAKE; EVIDENCE_MISSING; REPEATED_FAILURE,"Fix; if workflow requires governance semantic changes, route via GovernanceChangePortal (do not weaken harness expectations silently).",GovernanceChangePortal (semantic conflicts) / DecisionRecorded (human) for stop-trigger arbitration,Test harness may use a fixed test human identity; production releases still require real human actors with stable identities.,C-ARCH-1; C-CTX-1; C-VER-1; C-TB-4; C-SHIP-1; C-EVID-6,SR-SPEC §3.1–§3.3 (loop/iteration/candidate lifecycle); SR-SPEC §2.3.3–§2.3.5 (runs/evidence/approvals/exceptions); SR-SPEC §1.12 (freeze/shippable),D-34..D-36
